Longitude,Latitude,Pixel,Scan
24.6495297,10.5397983,3700,200
24.6732764,10.5384131,3800,200
24.6970264,10.5370309,3900,200
24.7205424,10.5356653,3999,200
23.7714248,10.5770567,0,300
23.7951639,10.5755555,100,300
23.8189001,10.5740577,200,300
23.8426337,10.5725631,300,300
23.8663647,10.5710718,400,300
23.8900934,10.5695837,500,300
23.9138199,10.5680989,600,300
23.9375444,10.5666173,700,300
23.961267,10.565139,800,300
23.9849879,10.5636639,900,300
24.0087074,10.562192,1000,300
24.0324255,10.5607233,1100,300
24.0561424,10.5592577,1200,300
24.0798582,10.5577954,1300,300
24.1035733,10.5563362,1400,300
24.1272877,10.5548802,1500,300
24.1510015,10.5534273,1600,300
24.1747151,10.5519775,1700,300
24.1984284,10.5505309,1800,300
24.2221418,10.5490874,1900,300
24.2458553,10.547647,2000,300
24.2695692,10.5462097,2100,300
24.2932835,10.5447755,2200,300
24.3169986,10.5433443,2300,300
24.3407144,10.5419162,2400,300
24.3644313,10.5404912,2500,300
24.3881493,10.5390692,2600,300
24.4118687,10.5376502,2700,300
24.4355896,10.5362343,2800,300
24.4593122,10.5348214,2900,300
24.4830366,10.5334115,3000,300
24.506763,10.5320046,3100,300
24.5304917,10.5306007,3200,300
24.5542226,10.5291998,3300,300
24.5779561,10.5278018,3400,300
24.6016923,10.5264068,3500,300
24.6254313,10.5250148,3600,300
24.6491734,10.5236257,3700,300
24.6729186,10.5222395,3800,300
24.6966672,10.5208563,3900,300
24.7201819,10.5194898,3999,300
23.7711427,10.5611947,0,400
23.7948813,10.5596945,100,400
23.818617,10.5581976,200,400
23.8423499,10.556704,300,400
23.8660804,10.5552136,400,400
23.8898086,10.5537265,500,400
23.9135345,10.5522427,600,400
23.9372584,10.5507621,700,400
23.9609805,10.5492847,800,400
23.9847009,10.5478106,900,400
24.0084198,10.5463397,1000,400
24.0321374,10.544872,1100,400
24.0558538,10.5434074,1200,400
24.0795692,10.5419461,1300,400
24.1032838,10.5404879,1400,400
24.1269977,10.5390329,1500,400
24.150711,10.537581,1600,400
24.1744241,10.5361322,1700,400
24.198137,10.5346866,1800,400
24.2218499,10.5332441,1900,400
24.245563,10.5318047,2000,400
24.2692764,10.5303684,2100,400
24.2929903,10.5289352,2200,400
24.3167049,10.5275051,2300,400
24.3404204,10.526078,2400,400
24.3641368,10.524654,2500,400
24.3878544,10.523233,2600,400
24.4115734,10.5218151,2700,400
24.4352939,10.5204002,2800,400
24.4590161,10.5189884,2900,400
24.4827401,10.5175795,3000,400
24.5064662,10.5161737,3100,400
24.5301944,10.5147708,3200,400
24.553925,10.5133709,3300,400
24.5776582,10.511974,3400,400
24.601394,10.5105801,3500,400
24.6251327,10.5091891,3600,400
24.6488744,10.5078011,3700,400
24.6726193,10.506416,3800,400
24.6963676,10.5050339,3900,400
24.7198819,10.5036684,3999,400
23.7708194,10.545099,0,500
23.7945568,10.543598,100,500
23.8182914,10.5421003,200,500
23.8420232,10.540606,300,500
23.8657525,10.5391148,400,500
23.8894795,10.537627,500,500
23.9132043,10.5361424,600,500
23.9369271,10.5346611,700,500
23.960648,10.533183,800,500
23.9843673,10.5317081,900,500
24.008085,10.5302364,1000,500
24.0318014,10.5287679,1100,500
24.0555166,10.5273027,1200,500
24.0792309,10.5258406,1300,500
24.1029442,10.5243816,1400,500
24.1266569,10.5229259,1500,500
24.1503691,10.5214733,1600,500
24.174081,10.5200238,1700,500
24.1977927,10.5185774,1800,500
24.2215044,10.5171342,1900,500
24.2452163,10.5156941,2000,500
24.2689285,10.5142571,2100,500
24.2926412,10.5128232,2200,500
24.3163546,10.5113923,2300,500
24.3400688,10.5099645,2400,500
24.363784,10.5085398,2500,500
24.3875004,10.5071182,2600,500
24.4112182,10.5056995,2700,500
24.4349375,10.504284,2800,500
24.4586584,10.5028714,2900,500
24.4823812,10.5014618,3000,500
24.506106,10.5000553,3100,500
24.529833,10.4986518,3200,500
24.5535624,10.4972512,3300,500
24.5772942,10.4958536,3400,500
24.6010288,10.494459,3500,500
24.6247662,10.4930674,3600,500
24.6485067,10.4916787,3700,500
24.6722503,10.4902929,3800,500
24.6959973,10.4889101,3900,500
24.7195104,10.487544,3999,500
23.7705338,10.528994,0,600
23.79427,10.5274922,100,600
23.8180033,10.5259938,200,600
23.841734,10.5244987,300,600
23.8654621,10.5230068,400,600
23.8891879,10.5215183,500,600
23.9129115,10.5200329,600,600
23.9366331,10.5185509,700,600
23.9603528,10.517072,800,600
23.9840709,10.5155964,900,600
24.0077874,10.514124,1000,600
24.0315026,10.5126549,1100,600
24.0552166,10.5111889,1200,600
24.0789296,10.5097261,1300,600
24.1026418,10.5082664,1400,600
24.1263533,10.50681,1500,600
24.1500643,10.5053566,1600,600
24.1737749,10.5039065,1700,600
24.1974854,10.5024594,1800,600
24.2211959,10.5010155,1900,600
24.2449065,10.4995747,2000,600
24.2686175,10.498137,2100,600
24.292329,10.4967024,2200,600
24.3160412,10.4952708,2300,600
24.3397542,10.4938424,2400,600
24.3634682,10.492417,2500,600
24.3871834,10.4909947,2600,600
24.4108999,10.4895754,2700,600
24.4346179,10.4881591,2800,600
24.4583376,10.4867459,2900,600
24.4820592,10.4853357,3000,600
24.5057828,10.4839284,3100,600
24.5295085,10.4825242,3200,600
24.5532366,10.481123,3300,600
24.5769673,10.4797248,3400,600
24.6007006,10.4783295,3500,600
24.6244368,10.4769372,3600,600
24.648176,10.4755479,3700,600
24.6719184,10.4741615,3800,600
24.6956641,10.472778,3900,600
24.7191759,10.4714113,3999,600
23.7702276,10.5130117,0,700
23.7939629,10.5115101,100,700
23.8176954,10.5100117,200,700
23.8414252,10.5085167,300,700
23.8651525,10.5070249,400,700
23.8888774,10.5055364,500,700
23.9126002,10.5040511,600,700
23.9363209,10.5025692,700,700
23.9600398,10.5010904,800,700
23.983757,10.4996149,900,700
24.0074727,10.4981426,1000,700
24.031187,10.4966735,1100,700
24.0549002,10.4952076,1200,700
24.0786124,10.4937449,1300,700
24.1023237,10.4922854,1400,700
24.1260343,10.490829,1500,700
24.1497445,10.4893758,1600,700
24.1734543,10.4879257,1700,700
24.197164,10.4864788,1800,700
24.2208736,10.485035,1900,700
24.2445834,10.4835943,2000,700
24.2682936,10.4821567,2100,700
24.2920042,10.4807222,2200,700
24.3157156,10.4792908,2300,700
24.3394277,10.4778625,2400,700
24.3631409,10.4764373,2500,700
24.3868553,10.4750151,2600,700
24.410571,10.4735959,2700,700
24.4342882,10.4721798,2800,700
24.458007,10.4707667,2900,700
24.4817278,10.4693566,3000,700
24.5054505,10.4679496,3100,700
24.5291755,10.4665455,3200,700
24.5529028,10.4651445,3300,700
24.5766326,10.4637464,3400,700
24.6003651,10.4623513,3500,700
24.6241004,10.4609592,3600,700
24.6478388,10.45957,3700,700
24.6715804,10.4581838,3800,700
24.6953254,10.4568005,3900,700
24.7188364,10.4554339,3999,700
23.7699294,10.497001,0,800
23.7936638,10.495499,100,800
23.8173953,10.4940004,200,800
23.8411242,10.4925051,300,800
23.8648505,10.4910131,400,800
23.8885745,10.4895243,500,800
23.9122963,10.4880388,600,800
23.9360161,10.4865566,700,800
23.959734,10.4850776,800,800
23.9834503,10.4836018,900,800
24.0071651,10.4821293,1000,800
24.0308785,10.48066,1100,800
24.0545907,10.4791939,1200,800
24.0783019,10.4777309,1300,800
24.1020123,10.4762712,1400,800
24.125722,10.4748146,1500,800
24.1494312,10.4733612,1600,800
24.1731401,10.4719109,1700,800
24.1968488,10.4704637,1800,800
24.2205575,10.4690197,1900,800
24.2442664,10.4675788,2000,800
24.2679756,10.466141,2100,800
24.2916853,10.4647063,2200,800
24.3153957,10.4632747,2300,800
24.339107,10.4618462,2400,800
24.3628192,10.4604208,2500,800
24.3865326,10.4589984,2600,800
24.4102474,10.457579,2700,800
24.4339636,10.4561627,2800,800
24.4576816,10.4547495,2900,800
24.4814014,10.4533392,3000,800
24.5051232,10.451932,3100,800
24.5288472,10.4505277,3200,800
24.5525735,10.4491265,3300,800
24.5763024,10.4477283,3400,800
24.600034,10.446333,3500,800
24.6237684,10.4449407,3600,800
24.6475059,10.4435514,3700,800
24.6712465,10.442165,3800,800
24.6949905,10.4407816,3900,800
24.7185006,10.4394148,3999,800
23.7696064,10.4809969,0,900
23.79334,10.4794948,100,900
23.8170706,10.477996,200,900
23.8407986,10.4765005,300,900
23.864524,10.4750083,400,900
23.8882471,10.4735194,500,900
23.911968,10.4720337,600,900
23.9356869,10.4705513,700,900
23.9594039,10.4690721,800,900
23.9831193,10.4675962,900,900
24.0068331,10.4661235,1000,900
24.0305456,10.4646541,1100,900
24.0542569,10.4631878,1200,900
24.0779673,10.4617247,1300,900
24.1016767,10.4602648,1400,900
24.1253855,10.4588081,1500,900
24.1490938,10.4573545,1600,900
24.1728018,10.4559041,1700,900
24.1965096,10.4544568,1800,900
24.2202174,10.4530126,1900,900
24.2439254,10.4515716,2000,900
24.2676337,10.4501337,2100,900
24.2913425,10.4486989,2200,900
24.3150519,10.4472672,2300,900
24.3387623,10.4458385,2400,900
24.3624736,10.4444129,2500,900
24.3861861,10.4429904,2600,900
24.4098999,10.441571,2700,900
24.4336153,10.4401546,2800,900
24.4573323,10.4387412,2900,900
24.4810512,10.4373309,3000,900
24.504772,10.4359235,3100,900
24.5284951,10.4345192,3200,900
24.5522205,10.4331179,3300,900
24.5759485,10.4317195,3400,900
24.5996791,10.4303242,3500,900
24.6234126,10.4289318,3600,900
24.6471492,10.4275424,3700,900
24.6708889,10.4261559,3800,900
24.694632,10.4247724,3900,900
24.7181411,10.4234056,3999,900
23.7693115,10.4649768,0,1000
23.793044,10.4634745,100,1000
23.8167737,10.4619755,200,1000
23.8405007,10.4604798,300,1000
23.8642252,10.4589874,400,1000
23.8879473,10.4574983,500,1000
23.9116673,10.4560124,600,1000
23.9353852,10.4545298,700,1000
23.9591013,10.4530505,800,1000
23.9828157,10.4515744,900,1000
24.0065285,10.4501015,1000,1000
24.0302401,10.4486319,1100,1000
24.0539505,10.4471654,1200,1000
24.0776598,10.4457022,1300,1000
24.1013683,10.4442421,1400,1000
24.1250762,10.4427852,1500,1000
24.1487835,10.4413315,1600,1000
24.1724906,10.4398809,1700,1000
